Price,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
Date,,,,,
2021-05-13,385.3764343261719,387.3207943827429,382.3143037249166,382.36128597661525,106394000
2021-05-14,391.2940673828125,392.1488348842711,388.10044914930353,388.1286270376946,82201600
2021-05-17,390.2983703613281,391.11558637114666,388.2694766099181,390.1762853009676,65129200
2021-05-18,386.93560791015625,390.8055229604252,386.77591414741556,390.5612955580646,59810200
2021-05-19,385.92120361328125,386.0996731004332,380.7268701153133,382.22038396362564,106467100
2021-05-20,390.07293701171875,391.34099915612734,386.6820739969034,386.80415905405096,78022200
2021-05-21,389.75360107421875,392.81573183580736,389.2933527076713,391.566445319186,76578700
2021-05-24,393.7267761230469,394.80696643943276,391.76361199046715,392.00783940058864,51376700
2021-05-25,392.853271484375,395.1733462806178,392.27090940571543,394.81640728655066,57451400
2021-05-26,393.6329040527344,394.14010598871914,392.4024219512265,393.4450323737221,43088600
2021-05-27,393.83953857421875,395.1827321731997,393.55773106490165,394.666128070574,56707700
2021-05-28,394.54400634765625,395.6805525494972,394.3091810939177,395.41754941191766,58520200
2021-06-01,394.196533203125,397.06139029520114,393.75506050821133,396.9205008532493,54216600
2021-06-02,394.8164367675781,395.6618307283131,393.8395842179401,394.8540168395476,49097100
2021-06-03,393.35113525390625,394.49708381221865,391.01228454550323,392.4869942418522,58138800
2021-06-04,396.94866943359375,397.24925267950715,393.41688795710087,395.21095658307695,55938800
2021-06-07,396.5634460449219,397.1176301316004,395.6241451525471,396.9391606688341,51555000
2021-06-08,396.6480712890625,397.5216144410657,394.8070491410869,397.4276785970966,47134300
2021-06-09,396.0562744140625,397.5685639814991,395.8308513392417,397.4934038464304,48436300
2021-06-10,397.8973083496094,398.8554137767314,395.96235045882463,397.2867683935218,51020100
2021-06-11,398.5548400878906,398.6675516313781,397.1552906475976,398.4515307280918,45570800
2021-06-14,399.4471740722656,399.55048342857026,397.4182803625306,398.6675381475228,42358500
2021-06-15,398.7145080566406,399.63500471228963,397.8315628029255,399.5974533103558,51508500
2021-06-16,396.48834228515625,399.08082228951355,394.4312994104029,398.85539921615816,80386100
2021-06-17,396.35693359375,397.34318840031926,393.86779111486715,396.0751546962154,90949700
2021-06-18,391.0098876953125,393.75217111287947,390.8025642358117,393.0548234577296,118676300
2021-06-21,396.6075439453125,396.79603026606236,391.9616466044744,392.78150745768414,72822000
2021-06-22,398.7279052734375,399.56663205540957,395.8725128032119,396.5981592907554,57700300
2021-06-23,398.247314453125,399.61373969091704,398.1625042322118,398.8033117406512,49445400
2021-06-24,400.6033020019531,401.02735316179115,400.1509520058126,400.4054114606954,45110300
2021-06-25,402.0260925292969,402.47844232848314,401.02717855352375,401.3570151513283,58129500
2021-06-28,402.8365783691406,403.00619877159266,401.34764023822356,402.5538776983873,53159600
2021-06-29,403.05340576171875,403.86383366669776,402.51624563364214,403.22302619406673,35970500
2021-06-30,403.39263916015625,404.0711496359645,402.5633453831712,402.59161545470596,64827900
2021-07-01,405.6260681152344,405.78628436268957,404.08999376429597,404.1559668520113,53441000
2021-07-02,408.7264404296875,409.0845471406086,405.7108322146403,406.7945852899978,57697700
2021-07-06,407.98193359375,408.99971353065246,405.23021785702485,408.7829571761898,68710400
2021-07-07,409.4238586425781,409.706588138466,406.6438721996936,408.6699708381631,63549500
2021-07-08,406.08782958984375,406.85115025329117,402.8837348812311,404.07113536169277,97595200
2021-07-09,410.4226989746094,410.72426554562935,405.88988250267164,407.6050100215051,76238600
2021-07-12,411.8928527832031,412.1473121921227,409.9044572663973,410.33794129336883,52889600
2021-07-13,410.48870849609375,412.6090501060507,410.2248449127692,411.10124587606435,52911300
2021-07-14,411.10125732421875,412.6844676272284,409.84791245826784,412.19441470242623,64130400
2021-07-15,409.6971130371094,410.4321636364202,407.78409489025074,409.7536531786738,55126400
2021-07-16,406.483642578125,410.93164949947175,406.0878615594616,410.8845422978607,75874700
2021-07-19,400.48065185546875,406.54954229073917,397.6535300536584,401.6303492052304,147987000
2021-07-20,406.2197570800781,407.501400747123,400.3487563752901,401.14978007232145,99608200
2021-07-21,409.5085754394531,409.6499545346313,406.172592469054,407.42593712872883,64724400
2021-07-22,410.3662109375,410.61123740243363,408.6982191605414,409.68770044604696,47878500
2021-07-23,414.5880432128906,414.92728406769214,411.61957069748223,412.3074853504877,63766600
2021-07-26,415.6057434082031,415.6151763504451,413.94718483492073,413.9942920281901,43719200
2021-07-27,413.71160888671875,414.58800978326263,410.8656210701545,414.5597397143087,67397100
2021-07-28,413.5419616699219,414.9272525731602,412.1095635711947,414.3429853060343,52472400
2021-07-29,415.257080078125,416.3408043812597,414.46548940212307,414.47492234460185,47435300
2021-07-30,413.2405090332031,414.70117750210306,412.5431325870059,412.67507877592726,68951200
2021-08-02,412.3734436035156,415.5209693765124,412.0153368747902,414.9649721562708,58783300
2021-08-03,415.72833251953125,415.85084575516265,410.9693547716872,413.1745067361262,58053900
2021-08-04,413.68341064453125,415.7000763509947,413.4478171093524,414.4372984535131,46732200
2021-08-05,416.3031311035156,416.3879413091103,414.53146345161576,414.8518671479637,38969700
2021-08-06,416.9910888671875,417.4151686980422,416.3408484646631,416.62357793822423,46930000
2021-08-09,416.6518249511719,417.28319943179935,415.8790713621011,416.9627957200079,41222600
2021-08-10,417.170166015625,417.8863795453643,416.4162782277763,417.10419292546993,43339300
2021-08-11,418.206787109375,418.30103027346,417.11362967573604,418.2444901268042,44034300
2021-08-12,419.4600524902344,419.60143158903793,417.1512535823725,418.0559245162748,38909400
2021-08-13,420.2234191894531,420.24225631588496,419.42239555203986,419.91241967001224,39470300
2021-08-16,421.21295166015625,421.3448690791862,417.3492121072332,418.9135565607182,73740000
2021-08-17,418.4517517089844,419.3187196688282,415.4455764007355,418.6402092503118,92673900
2021-08-18,413.871826171875,419.00777622060184,413.6268284762824,417.433998911538,89351900
2021-08-19,414.5126953125,415.7189618782176,410.9882250625996,411.1295754385891,92812200
2021-08-20,417.8108825683594,418.14071918836515,414.3712235516576,414.86127639017,72008700
2021-08-23,421.4862060546875,422.400309988542,417.8863304587678,419.50721489532515,54973000
2021-08-24,422.1553039550781,422.6924640652562,421.6370097316265,422.1553039550781,38744700
2021-08-25,423.0411682128906,423.559462473527,421.9668479154579,422.3438205693488,40529700
2021-08-26,420.5438537597656,422.9940032884355,420.4496106027459,422.75840977537314,57829600
2021-08-27,424.30389404296875,424.68083789165667,421.29771867840407,421.35425881775865,77235100
2021-08-30,426.1697998046875,426.961390505125,424.73737293430094,424.98239937454537,48357400
2021-08-31,425.53839111328125,426.41479201047923,424.9352867221564,426.07555118277867,59300200
2021-09-01,425.7644958496094,426.9990032979683,425.52890238604516,426.48070918171413,48721400
2021-09-02,427.074462890625,427.8848907026548,425.8682253562047,427.1969761084833,42501000
2021-09-03,426.97076416015625,427.48908707292264,425.5289332090637,425.93417585256316,47170500
2021-09-07,425.4441833496094,426.71639407724444,424.76567287880226,426.6221509198319,51671500
2021-09-08,424.9258728027344,425.64208626079466,422.99398880638046,424.9070356755649,56181900
2021-09-09,423.10711669921875,426.4902361306357,422.8620902402333,424.72800123617645,57970400
2021-09-10,419.77117919921875,425.4725317855964,419.648665947915,425.0484806375978,89948200
2021-09-13,420.84539794921875,423.0505785726506,418.5177328546844,422.7867149843986,83738600
2021-09-14,418.5743103027344,422.50399413510956,417.67904341772214,422.29667068589487,78197100
2021-09-15,422.0705261230469,422.5699832570641,417.8863827230255,418.99837728419965,78792200
2021-09-16,421.4013977050781,422.5227963160608,418.43289657344855,421.542748054448,77786700
2021-09-17,417.29656982421875,421.0497821361924,416.93731577730705,420.6243724894117,118425000
2021-09-20,410.3385009765625,412.7208816188772,405.44134193513526,411.13262785733406,166445500
2021-09-21,409.9508361816406,413.99711770891486,409.42141832581854,412.69247054595706,92526100
2021-09-22,413.9497375488281,416.00125291661595,410.0641864262637,412.2385786409359,102350100
2021-09-23,418.9792785644531,420.59592142801534,415.5947841917218,415.8311324506057,76396000
2021-09-24,419.66949462890625,420.38800268599357,417.11692147428283,417.3343722944831,62094800
2021-09-27,418.4688415527344,419.801820517325,417.7692309966468,418.6295422330679,61371100
2021-09-28,410.03594970703125,416.01084179881366,409.2985441473634,415.67994840064347,130436300
2021-09-29,410.7260437011719,413.1746083672385,410.15880207113577,411.4256253625887,82329200
2021-09-30,405.7060241699219,412.9193495615743,405.36566763843695,412.210304709682,140506000
2021-10-01,410.5274963378906,412.2197580892175,403.90031023159025,407.4455344069044,129240100
2021-10-04,405.2332763671875,410.2627452872103,403.07775259289957,409.35517606984524,128570000
2021-10-05,409.44976806640625,411.7092426318,405.94236765217715,406.745928727263,90682500
2021-10-06,411.1513671875,411.3593547799223,404.1932892793748,405.8288005346441,113032200
